6.355904042720794678e-05 6.554248258794360419e-07 4.120789868466086833e-04
9.478490054607391357e-02 3.612435637041926800e-02 1.620207194238900972e-01
1.004830598831176758e-01 4.974839715287089625e-02 1.695077076554298290e-01
2.057285010814666748e-01 1.191196493804454887e-01 3.009341239929199663e-01
1.220182552933692932e-01 5.187483234331011911e-02 2.209420949220657071e-01
8.321166783571243286e-02 3.532518744468689242e-02 1.427324067801236940e-01
6.098365783691406250e-02 1.268041091971099446e-02 1.249065637588500921e-01
8.199571818113327026e-02 2.792124804109334668e-02 1.380643542855977957e-01
2.678210102021694183e-02 1.107460954226553544e-02 5.623893206939101219e-02
3.649204969406127930e-02 1.605278626084327698e-02 6.694890260696409467e-02
4.886692762374877930e-02 1.541939810849726061e-02 8.569860924035310745e-02
4.849747195839881897e-02 2.172490647062659194e-02 8.990986216813323662e-02
3.412950783967971802e-02 7.742930203676223755e-03 7.025525867938994806e-02
1.171367987990379333e-02 7.864258499466813884e-04 3.703018333762883585e-02
5.376235581934452057e-03 2.091605096211424152e-04 1.860139961354434143e-02
3.258396871387958527e-03 8.515738983987831013e-04 6.926354847382747322e-03
3.860964439809322357e-03 5.602322737104259865e-04 9.962022071704266721e-03
1.163874939084053040e-02 1.652052055578678803e-03 3.317303247749804618e-02
3.232217160984873772e-03 8.151063157129101455e-04 7.912039151415226762e-03
6.675552576780319214e-03 1.597088153357617384e-03 2.371354587376117706e-02
6.125013343989849091e-03 2.042734913993626486e-03 1.371133609209209542e-02
2.940579550340771675e-03 7.205714093288407163e-04 6.595624540932475480e-03
6.152557907626032829e-04 5.657465189869981395e-05 2.093932812567800110e-03
8.431671449216082692e-05 3.250703707635694057e-06 3.230066271498799107e-04
1.731379416014533490e-05 1.007836702981990129e-07 7.623868968948954445e-05
1.390093802910996601e-05 1.998263940095057531e-07 4.960086926075745628e-05
2.423303340037818998e-05 3.352424982949742116e-06 8.662071923026815057e-05
9.399363625561818480e-05 2.204824340878985822e-06 4.322108288761228323e-04
2.921568229794502258e-04 1.111290777089379929e-06 2.231909945840014620e-03
1.474065243201039266e-07 4.439062106786906104e-09 8.063782516387617400e-07
