# r,w_mean,copy
6.945454478263854980e-01,1.428318288177251816e+01,1.000000000000000000e+00
4.633864164352416992e-01,1.471200537495315075e+01,1.000000000000000000e+00
3.643823266029357910e-01,1.464371584169566631e+01,1.000000000000000000e+00
2.063788175582885742e-01,1.429342609643936157e+01,1.000000000000000000e+00
2.452342808246612549e-01,1.404016011394560337e+01,1.000000000000000000e+00
2.330241799354553223e-01,1.338297435920685530e+01,1.000000000000000000e+00
2.621813714504241943e-01,1.290466665755957365e+01,1.000000000000000000e+00
2.282438576221466064e-01,1.202682179864495993e+01,1.000000000000000000e+00
2.570788264274597168e-01,1.123840578738600016e+01,1.000000000000000000e+00
2.464528232812881470e-01,1.083994618151336908e+01,1.000000000000000000e+00
2.525079846382141113e-01,1.067279752995818853e+01,1.000000000000000000e+00
2.709639668464660645e-01,9.943890723399817944e+00,1.000000000000000000e+00
2.872857451438903809e-01,9.743052571080625057e+00,1.000000000000000000e+00
3.031851947307586670e-01,8.988605617545545101e+00,1.000000000000000000e+00
3.037608861923217773e-01,8.902315653860569000e+00,1.000000000000000000e+00
2.935386300086975098e-01,8.121028316207230091e+00,1.000000000000000000e+00
2.692276239395141602e-01,8.255316554103046656e+00,1.000000000000000000e+00
2.820190191268920898e-01,8.197321642190217972e+00,1.000000000000000000e+00
2.821710407733917236e-01,8.547915915492922068e+00,1.000000000000000000e+00
2.563374638557434082e-01,8.825461618602275848e+00,1.000000000000000000e+00
2.578893601894378662e-01,8.488778225146234035e+00,1.000000000000000000e+00
2.659775912761688232e-01,8.587328571826219559e+00,1.000000000000000000e+00
2.947854697704315186e-01,8.439318152144551277e+00,1.000000000000000000e+00
2.824522554874420166e-01,8.239139215089380741e+00,1.000000000000000000e+00
2.569985687732696533e-01,8.062108081765472889e+00,1.000000000000000000e+00
2.960686385631561279e-01,7.157650522422045469e+00,1.000000000000000000e+00
3.007313311100006104e-01,7.689832489937543869e+00,1.000000000000000000e+00
2.976561486721038818e-01,7.599003968527540565e+00,1.000000000000000000e+00
2.680461406707763672e-01,7.692191514186561108e+00,1.000000000000000000e+00
2.706727385520935059e-01,7.793845335720106959e+00,1.000000000000000000e+00
2.505203187465667725e-01,7.304327215068042278e+00,1.000000000000000000e+00
2.861088216304779053e-01,7.220834641484543681e+00,1.000000000000000000e+00
2.818610668182373047e-01,7.422067663399502635e+00,1.000000000000000000e+00
2.942386865615844727e-01,7.252307275775820017e+00,1.000000000000000000e+00
3.015025556087493896e-01,7.175187208456918597e+00,1.000000000000000000e+00
2.890065014362335205e-01,7.302083427086472511e+00,1.000000000000000000e+00
2.668120265007019043e-01,7.351407868787646294e+00,1.000000000000000000e+00
2.612726390361785889e-01,7.053767990088090301e+00,1.000000000000000000e+00
2.640193402767181396e-01,7.124639266170561314e+00,1.000000000000000000e+00
2.842184305191040039e-01,7.189968833466991782e+00,1.000000000000000000e+00
2.940369844436645508e-01,7.117816526442766190e+00,1.000000000000000000e+00
3.119579255580902100e-01,6.772838431643322110e+00,1.000000000000000000e+00
2.766087055206298828e-01,6.849001931259408593e+00,1.000000000000000000e+00
2.792849838733673096e-01,6.738912281813099980e+00,1.000000000000000000e+00
3.029757440090179443e-01,7.011571093928068876e+00,1.000000000000000000e+00
2.862173914909362793e-01,6.729302506195381284e+00,1.000000000000000000e+00
3.061137795448303223e-01,6.834348224801942706e+00,1.000000000000000000e+00
2.769755423069000244e-01,6.914399794070050120e+00,1.000000000000000000e+00
2.909107208251953125e-01,6.729673268622718751e+00,1.000000000000000000e+00
2.959351241588592529e-01,6.429816652671433985e+00,1.000000000000000000e+00
2.896584570407867432e-01,6.261400181334465742e+00,1.000000000000000000e+00
2.840933501720428467e-01,6.551426977152004838e+00,1.000000000000000000e+00
2.923004329204559326e-01,6.586959364707581699e+00,1.000000000000000000e+00
2.970876395702362061e-01,6.448116449872031808e+00,1.000000000000000000e+00
2.836156189441680908e-01,6.211750470916740596e+00,1.000000000000000000e+00
2.927644848823547363e-01,6.200944255455397069e+00,1.000000000000000000e+00
2.959505021572113037e-01,5.895482680411078036e+00,1.000000000000000000e+00
2.788721024990081787e-01,6.201686704996973276e+00,1.000000000000000000e+00
2.910112738609313965e-01,6.267257423256523907e+00,1.000000000000000000e+00
2.910112738609313965e-01,6.267257423256523907e+00,1.000000000000000000e+00
2.916337251663208008e-01,6.352450031903572381e+00,1.000000000000000000e+00
3.130798339843750000e-01,6.220159257529303432e+00,1.000000000000000000e+00
3.030853569507598877e-01,6.063723653205670416e+00,1.000000000000000000e+00
3.030853569507598877e-01,6.063723653205670416e+00,1.000000000000000000e+00
2.934234440326690674e-01,6.063047003815881908e+00,1.000000000000000000e+00
2.934234440326690674e-01,6.063047003815881908e+00,1.000000000000000000e+00
2.934234440326690674e-01,6.063047003815881908e+00,1.000000000000000000e+00
2.782350480556488037e-01,5.869704787735827267e+00,1.000000000000000000e+00
2.912410497665405273e-01,6.034576587844640017e+00,1.000000000000000000e+00
2.763938903808593750e-01,6.248814445687457919e+00,1.000000000000000000e+00
2.763938903808593750e-01,6.248814445687457919e+00,1.000000000000000000e+00
3.014775812625885010e-01,6.070835473074112087e+00,1.000000000000000000e+00
2.922981381416320801e-01,5.995090472220908850e+00,1.000000000000000000e+00
2.923834323883056641e-01,6.064904444559942931e+00,1.000000000000000000e+00
3.162561357021331787e-01,5.844070840801578015e+00,1.000000000000000000e+00
2.746084034442901611e-01,5.994778419495560229e+00,1.000000000000000000e+00
3.020246028900146484e-01,5.706817276426590979e+00,1.000000000000000000e+00
3.020246028900146484e-01,5.706817276426590979e+00,1.000000000000000000e+00
3.110972046852111816e-01,5.677800962468609214e+00,1.000000000000000000e+00
3.168723583221435547e-01,5.595233677129726857e+00,1.000000000000000000e+00
3.075551390647888184e-01,5.658009191829478368e+00,1.000000000000000000e+00
2.944248318672180176e-01,5.524398066336289048e+00,1.000000000000000000e+00
3.091863989830017090e-01,5.656728040485177189e+00,1.000000000000000000e+00
3.201313912868499756e-01,5.773045381472911686e+00,1.000000000000000000e+00
3.004199266433715820e-01,5.669564403186086565e+00,1.000000000000000000e+00
3.059227764606475830e-01,5.668614737573079765e+00,1.000000000000000000e+00
3.083332180976867676e-01,5.789566188410390168e+00,1.000000000000000000e+00
3.114754557609558105e-01,6.022535912750754505e+00,1.000000000000000000e+00
2.965687811374664307e-01,5.909942256112117320e+00,1.000000000000000000e+00
3.059439957141876221e-01,5.845361188228707761e+00,1.000000000000000000e+00
2.785607874393463135e-01,6.101680793508421630e+00,1.000000000000000000e+00
3.027260005474090576e-01,6.483666661661118269e+00,1.000000000000000000e+00
2.807759046554565430e-01,6.559243973111733794e+00,1.000000000000000000e+00
2.665679454803466797e-01,6.573750670067965984e+00,1.000000000000000000e+00
2.821385860443115234e-01,6.303705529426224530e+00,1.000000000000000000e+00
2.814684212207794189e-01,6.318072326132096350e+00,1.000000000000000000e+00
2.814684212207794189e-01,6.318072326132096350e+00,1.000000000000000000e+00
2.814684212207794189e-01,6.318072326132096350e+00,1.000000000000000000e+00
3.081828653812408447e-01,6.210311208618804812e+00,1.000000000000000000e+00
2.963022887706756592e-01,6.164206720073707402e+00,1.000000000000000000e+00
3.035403490066528320e-01,6.390645577455870807e+00,1.000000000000000000e+00
3.041004240512847900e-01,6.209360426524654031e+00,1.000000000000000000e+00
3.039608299732208252e-01,6.224765588762238622e+00,1.000000000000000000e+00
2.912986278533935547e-01,5.954841481987386942e+00,1.000000000000000000e+00
3.026787042617797852e-01,6.094479310209862888e+00,1.000000000000000000e+00
2.885677814483642578e-01,5.826043684617616236e+00,1.000000000000000000e+00
3.081120848655700684e-01,5.904877651832066476e+00,1.000000000000000000e+00
2.845669686794281006e-01,6.001245897030457854e+00,1.000000000000000000e+00
2.714033424854278564e-01,5.664872141671366990e+00,1.000000000000000000e+00
2.815517485141754150e-01,5.572800109861418605e+00,1.000000000000000000e+00
3.037469983100891113e-01,5.679661257832776755e+00,1.000000000000000000e+00
2.822407186031341553e-01,5.783681890694424510e+00,1.000000000000000000e+00
2.736720144748687744e-01,5.685806346940807998e+00,1.000000000000000000e+00
2.834111750125885010e-01,5.821182281535584480e+00,1.000000000000000000e+00
2.746221721172332764e-01,5.769327516783960164e+00,1.000000000000000000e+00
2.939817309379577637e-01,5.683627414167858660e+00,1.000000000000000000e+00
2.896550893783569336e-01,5.964139955583959818e+00,1.000000000000000000e+00
3.052371442317962646e-01,5.943380377662833780e+00,1.000000000000000000e+00
2.744914293289184570e-01,6.055496830260381103e+00,1.000000000000000000e+00
2.823249101638793945e-01,5.832444709143601358e+00,1.000000000000000000e+00
3.104324638843536377e-01,5.781632290512789041e+00,1.000000000000000000e+00
2.968940734863281250e-01,5.824068141053430736e+00,1.000000000000000000e+00
2.776142656803131104e-01,5.925702430249657482e+00,1.000000000000000000e+00
2.882650196552276611e-01,5.910169826063793153e+00,1.000000000000000000e+00
2.786636948585510254e-01,5.950517259305343032e+00,1.000000000000000000e+00
2.776675224304199219e-01,6.291202130960300565e+00,1.000000000000000000e+00
2.895859479904174805e-01,6.250912563409656286e+00,1.000000000000000000e+00
2.870900332927703857e-01,6.098303868726361543e+00,1.000000000000000000e+00
3.116644322872161865e-01,6.004582556663081050e+00,1.000000000000000000e+00
2.991789281368255615e-01,5.808070607716217637e+00,1.000000000000000000e+00
2.884621322154998779e-01,5.890212384518235922e+00,1.000000000000000000e+00
2.974640429019927979e-01,5.968816636828705668e+00,1.000000000000000000e+00
2.830706834793090820e-01,5.814561875187791884e+00,1.000000000000000000e+00
2.920870184898376465e-01,5.946881356183439493e+00,1.000000000000000000e+00
2.724786996841430664e-01,5.998874972923658788e+00,1.000000000000000000e+00
2.820234894752502441e-01,5.997665604343637824e+00,1.000000000000000000e+00
2.887198925018310547e-01,5.774967810953967273e+00,1.000000000000000000e+00
2.840221524238586426e-01,6.083087816601619124e+00,1.000000000000000000e+00
2.929487824440002441e-01,6.319659523316659033e+00,1.000000000000000000e+00
2.705956101417541504e-01,6.352983435732312500e+00,1.000000000000000000e+00
2.813408374786376953e-01,6.318646576604805887e+00,1.000000000000000000e+00
2.802837193012237549e-01,6.127648588269948959e+00,1.000000000000000000e+00
2.962020635604858398e-01,5.992951696738600731e+00,1.000000000000000000e+00
2.742223143577575684e-01,5.980779309815261513e+00,1.000000000000000000e+00
2.933260202407836914e-01,5.751330904138740152e+00,1.000000000000000000e+00
3.129516243934631348e-01,5.898591293022036552e+00,1.000000000000000000e+00
2.830960154533386230e-01,5.770691449753940105e+00,1.000000000000000000e+00
2.990875542163848877e-01,5.804418509360402822e+00,1.000000000000000000e+00
2.780852913856506348e-01,5.650939794490113854e+00,1.000000000000000000e+00
2.780852913856506348e-01,5.650939794490113854e+00,1.000000000000000000e+00
2.907288670539855957e-01,5.805685985076706856e+00,1.000000000000000000e+00
