# p14_a1_post, p14_a10_post, p14_a1_prior, p14_a10_post
1.102576702833175659e-01,8.167443424463272095e-02,3.537071049213409424e-01,5.510936025530099869e-03
9.961311519145965576e-02,8.491550385951995850e-02,1.858724802732467651e-01,1.577968895435333252e-01
1.029628962278366089e-01,8.960039168596267700e-02,5.688420310616493225e-02,1.993051543831825256e-02
1.058860942721366882e-01,9.238213300704956055e-02,8.471592515707015991e-02,5.436808243393898010e-02
1.075785681605339050e-01,9.238213300704956055e-02,4.859586805105209351e-02,2.678294293582439423e-02
1.083535626530647278e-01,7.995824515819549561e-02,3.478442132472991943e-02,1.068635564297437668e-02
1.097334101796150208e-01,7.522927224636077881e-02,2.501150071620941162e-01,2.282380685210227966e-02
1.193667799234390259e-01,7.651013880968093872e-02,7.476913183927536011e-02,1.521445903927087784e-02
1.098710000514984131e-01,7.541704177856445312e-02,2.785449624061584473e-01,1.203374266624450684e-01
1.003355607390403748e-01,7.722144573926925659e-02,1.449480205774307251e-01,6.927504390478134155e-02
1.044421121478080750e-01,7.865116000175476074e-02,2.784317731857299805e-01,3.482603468000888824e-03
1.008675843477249146e-01,7.593420147895812988e-02,6.105287671089172363e-01,2.090645208954811096e-02
1.060710847377777100e-01,8.132676780223846436e-02,2.758485674858093262e-01,3.454526886343955994e-02
1.278515905141830444e-01,8.486527204513549805e-02,7.512506842613220215e-02,2.374386647716164589e-03
1.250925958156585693e-01,8.003102242946624756e-02,8.838720619678497314e-03,1.457275357097387314e-03
1.181431263685226440e-01,8.126816153526306152e-02,2.907392336055636406e-03,1.719761174172163010e-03
1.186712831258773804e-01,7.888127863407135010e-02,1.816874835640192032e-03,1.724355388432741165e-03
1.127274334430694580e-01,7.710576057434082031e-02,2.085645217448472977e-03,3.816747106611728668e-03
1.180350482463836670e-01,7.283180952072143555e-02,4.957722499966621399e-03,5.092168692499399185e-03
9.770350903272628784e-02,6.542454659938812256e-02,4.689945280551910400e-02,8.121098391711711884e-03
1.042928844690322876e-01,6.542454659938812256e-02,4.713749047368764877e-03,3.941474482417106628e-03
9.634543210268020630e-02,5.968125164508819580e-02,6.883447058498859406e-03,1.111685205250978470e-02
9.049326926469802856e-02,5.813419073820114136e-02,1.816462725400924683e-02,9.514377452433109283e-03
9.810081869363784790e-02,5.360677838325500488e-02,4.272203147411346436e-02,5.320263560861349106e-03
8.993347734212875366e-02,5.821291357278823853e-02,7.522751092910766602e-01,5.093923769891262054e-03
8.103859424591064453e-02,6.081502512097358704e-02,5.380991101264953613e-01,9.733155369758605957e-03
7.871417701244354248e-02,5.301393941044807434e-02,1.688317060470581055e-01,4.804612603038549423e-03
8.618235588073730469e-02,5.135239288210868835e-02,6.847448181360960007e-03,3.971689380705356598e-03
7.278585433959960938e-02,5.661398917436599731e-02,3.057197034358978271e-01,3.192047355696558952e-03
7.684631645679473877e-02,6.846363842487335205e-02,5.578554272651672363e-01,1.481345505453646183e-03
7.277506589889526367e-02,6.928062438964843750e-02,8.139295578002929688e-01,2.654692390933632851e-03
7.080607861280441284e-02,7.399113476276397705e-02,9.769341349601745605e-01,2.092838753014802933e-03
7.471284270286560059e-02,8.423343300819396973e-02,9.781101942062377930e-01,1.714845187962055206e-03
7.251634448766708374e-02,7.267826795578002930e-02,9.994450807571411133e-01,3.008282510563731194e-04
6.670726835727691650e-02,6.528069078922271729e-02,9.950844049453735352e-01,3.875966649502515793e-04
6.513552367687225342e-02,6.484483182430267334e-02,9.544357061386108398e-01,3.288010484538972378e-04
6.444145739078521729e-02,6.570346653461456299e-02,9.665576219558715820e-01,2.541109861340373755e-04
6.181649863719940186e-02,6.149792298674583435e-02,9.713119864463806152e-01,5.447415605885908008e-05
6.447508931159973145e-02,6.149792298674583435e-02,9.597467780113220215e-01,7.623562123626470566e-04
6.651907414197921753e-02,6.149792298674583435e-02,9.427875876426696777e-01,1.532806665636599064e-03
6.147032976150512695e-02,6.149792298674583435e-02,7.878944873809814453e-01,6.304020993411540985e-03
5.520654469728469849e-02,5.909155309200286865e-02,5.034108161926269531e-01,6.282011978328227997e-03
5.663816630840301514e-02,6.775540113449096680e-02,7.395263314247131348e-01,3.329024650156497955e-03
7.096640765666961670e-02,6.775540113449096680e-02,3.305612802505493164e-01,9.506217204034328461e-03
7.099162042140960693e-02,6.743705272674560547e-02,3.926663994789123535e-01,1.715447008609771729e-02
7.960703969001770020e-02,6.644856929779052734e-02,5.226804018020629883e-01,7.782278582453727722e-03
8.809982240200042725e-02,6.586903333663940430e-02,7.809436917304992676e-01,4.558817483484745026e-03
9.293577820062637329e-02,6.505373120307922363e-02,3.025561869144439697e-01,4.646095912903547287e-03
8.886554837226867676e-02,6.443078815937042236e-02,6.317076086997985840e-01,2.384735830128192902e-02
8.603929728269577026e-02,6.323170661926269531e-02,6.906955838203430176e-01,1.697483472526073456e-02
8.292919397354125977e-02,5.828809738159179688e-02,3.933966159820556641e-01,7.927908748388290405e-02
7.524773478507995605e-02,5.432667210698127747e-02,1.863520890474319458e-01,1.252242028713226318e-01
8.048096299171447754e-02,5.053706467151641846e-02,4.582992568612098694e-02,9.535927325487136841e-03
8.668082952499389648e-02,5.154350399971008301e-02,8.063030987977981567e-02,1.122000999748706818e-02
8.699912577867507935e-02,5.124579742550849915e-02,2.721311151981353760e-01,2.363301068544387817e-02
9.711690247058868408e-02,5.884924903512001038e-02,1.073880791664123535e-01,7.072433084249496460e-02
8.808743953704833984e-02,5.775933712720870972e-02,1.745996437966823578e-02,5.446054507046937943e-03
8.988158404827117920e-02,5.386566370725631714e-02,2.617435529828071594e-03,2.698900736868381500e-02
9.115877002477645874e-02,5.490984022617340088e-02,8.110433700494468212e-04,1.121184416115283966e-02
9.810925275087356567e-02,5.544395744800567627e-02,1.107883639633655548e-03,1.341552473604679108e-02
9.701818972826004028e-02,5.544395744800567627e-02,4.525851691141724586e-04,2.762688323855400085e-03
8.025085926055908203e-02,5.631528422236442566e-02,6.696322816424071789e-04,4.653368610888719559e-03
9.088592231273651123e-02,5.908760428428649902e-02,2.231593430042266846e-02,4.810179583728313446e-03
8.049517869949340820e-02,5.596980825066566467e-02,1.505955029278993607e-02,1.989523507654666901e-02
8.764459937810897827e-02,5.191487073898315430e-02,1.319236122071743011e-02,1.792038790881633759e-02
8.764459937810897827e-02,5.328062176704406738e-02,1.623086072504520416e-02,8.929335512220859528e-03
8.428207039833068848e-02,5.328062176704406738e-02,2.698400244116783142e-02,4.145517013967037201e-03
8.907578885555267334e-02,6.074705719947814941e-02,2.586840689182281494e-01,6.959206424653530121e-03
9.402765333652496338e-02,6.405025720596313477e-02,5.924850702285766602e-02,6.361935287714004517e-03
8.416464924812316895e-02,6.392154097557067871e-02,1.014659740030765533e-02,9.460721164941787720e-03
7.911217212677001953e-02,6.282228231430053711e-02,2.132465131580829620e-03,1.788489607861265540e-04
8.603169023990631104e-02,6.461434066295623779e-02,9.187752730213105679e-04,4.808947414858266711e-05
7.923213392496109009e-02,5.649298802018165588e-02,2.502565039321780205e-04,6.762536941096186638e-05
7.233908772468566895e-02,4.882265999913215637e-02,4.316454287618398666e-04,2.604970650281757116e-04
6.888175755739212036e-02,4.229593276977539062e-02,2.717273309826850891e-03,1.284242607653141022e-04
6.936529278755187988e-02,4.153218865394592285e-02,3.592934226617217064e-03,2.017271799559239298e-05
6.202146410942077637e-02,4.327981173992156982e-02,1.599768875166773796e-03,8.483972487738355994e-05
6.932950019836425781e-02,4.187623783946037292e-02,2.057219156995415688e-03,1.273858506465330720e-04
6.477019190788269043e-02,4.139382392168045044e-02,3.462421894073486328e-02,1.198553436552174389e-04
6.507135927677154541e-02,4.165826737880706787e-02,2.998390607535839081e-02,1.445770030841231346e-04
6.507135927677154541e-02,3.862250223755836487e-02,8.750094275455921888e-05,1.035450841300189495e-03
6.872208416461944580e-02,4.178728908300399780e-02,8.371243253350257874e-03,2.928311587311327457e-04
7.940457761287689209e-02,4.709685966372489929e-02,3.406243631616234779e-03,5.716042142012156546e-05
8.055293560028076172e-02,5.027028918266296387e-02,3.082957817241549492e-03,2.552120131440460682e-04
8.299209922552108765e-02,5.208377540111541748e-02,2.730225911363959312e-03,6.012759171426296234e-03
9.075438976287841797e-02,4.747096821665763855e-02,2.060793922282755375e-04,3.744027018547058105e-02
9.147919714450836182e-02,5.117891728878021240e-02,2.551527286414057016e-04,6.541114300489425659e-02
9.114781022071838379e-02,5.265668034553527832e-02,1.235860836459323764e-04,2.577654644846916199e-02
8.229134976863861084e-02,5.266553908586502075e-02,2.022799890255555511e-04,2.854884602129459381e-02
8.386044949293136597e-02,5.642899870872497559e-02,2.192485699197277427e-04,3.617518814280629158e-03
8.693809807300567627e-02,5.005103722214698792e-02,9.627757208363618702e-06,1.169625553302466869e-03
9.032557159662246704e-02,4.735247790813446045e-02,1.833164606068748981e-05,6.651178933680057526e-03
9.553181380033493042e-02,4.312499612569808960e-02,6.454662070609629154e-05,4.159947112202644348e-02
1.030212044715881348e-01,4.312499612569808960e-02,2.284928814333397895e-05,3.799933008849620819e-03
9.929796308279037476e-02,4.312499612569808960e-02,2.606479574751574546e-05,2.539452537894248962e-02
8.942559361457824707e-02,4.836995899677276611e-02,6.123862112872302532e-04,1.400294899940490723e-02
8.281515538692474365e-02,5.226571112871170044e-02,1.332921092398464680e-04,8.890292607247829437e-03
7.864817976951599121e-02,5.451537296175956726e-02,7.097050547599792480e-05,6.194297457113862038e-04
6.874015182256698608e-02,5.304346233606338501e-02,3.443697278271429241e-05,1.885026576928794384e-04
7.082714140415191650e-02,4.973041638731956482e-02,4.512442046689102426e-06,6.039225627318955958e-05
8.001928031444549561e-02,5.909542739391326904e-02,2.223419578513130546e-04,1.265171595150604844e-04
7.179589569568634033e-02,5.811277404427528381e-02,1.539816585136577487e-04,9.678741480456665158e-05
6.943812966346740723e-02,6.501246988773345947e-02,4.520707989286165684e-06,5.520308623090386391e-04
7.345452904701232910e-02,6.687489897012710571e-02,1.252884248970076442e-05,6.663873209618031979e-04
6.811051815748214722e-02,6.703832745552062988e-02,1.370187590055138571e-07,1.001999597065150738e-03
6.499332189559936523e-02,6.181223690509796143e-02,5.979722118354402483e-06,2.422571647912263870e-03
6.520809978246688843e-02,5.744180828332901001e-02,2.325509882439291687e-07,4.184178076684474945e-03
6.965106725692749023e-02,5.901097133755683899e-02,3.883073986798990518e-07,9.731063619256019592e-04
8.428455144166946411e-02,5.605992302298545837e-02,2.192055887917376822e-07,2.365184947848320007e-03
8.798158168792724609e-02,5.978871136903762817e-02,4.563029563087184215e-07,4.386317450553178787e-04
8.890372514724731445e-02,6.817437708377838135e-02,1.088393491954775527e-05,6.008444470353424549e-04
8.759810030460357666e-02,6.648064404726028442e-02,1.941903747137985192e-06,1.091988597181625664e-04
8.880157023668289185e-02,6.939965486526489258e-02,5.928386599407531321e-07,2.991504152305424213e-05
8.683280646800994873e-02,7.121217250823974609e-02,1.289143710891949013e-05,7.324166654143482447e-05
9.319258481264114380e-02,6.779909133911132812e-02,2.198690526711288840e-05,1.662956346990540624e-04
9.750710427761077881e-02,6.805398315191268921e-02,9.698577923700213432e-05,2.824394963681697845e-03
9.750710427761077881e-02,6.308387219905853271e-02,2.775533357635140419e-05,2.254576887935400009e-03
9.380743652582168579e-02,5.910859629511833191e-02,1.829580833145882934e-05,6.172082852572202682e-03
1.004656478762626648e-01,5.577282980084419250e-02,2.256359721286571585e-06,1.075392123311758041e-02
9.852190315723419189e-02,5.369653925299644470e-02,5.748494231738732196e-07,2.853323007002472878e-03
1.068611815571784973e-01,5.023688822984695435e-02,1.833952751439937856e-06,1.806953572668135166e-03
9.692319482564926147e-02,4.402938485145568848e-02,9.390244315454765456e-08,5.224545020610094070e-04
9.585776925086975098e-02,4.352970048785209656e-02,2.964534928651119117e-08,1.336417719721794128e-02
1.082992553710937500e-01,4.501724988222122192e-02,1.434760132923429410e-08,6.322426721453666687e-03
1.002786681056022644e-01,5.112778767943382263e-02,1.661457815771427704e-08,2.020543627440929413e-02
8.774022758007049561e-02,6.082005053758621216e-02,6.002050412234893884e-08,4.011130332946777344e-02
8.055579662322998047e-02,5.976787582039833069e-02,1.868906025492833578e-07,4.531327635049819946e-02
8.113428950309753418e-02,5.976787582039833069e-02,1.107508893483100110e-07,8.440575003623962402e-02
7.218174636363983154e-02,5.849462747573852539e-02,1.370100655151418323e-08,1.066288277506828308e-01
7.168640196323394775e-02,6.290114670991897583e-02,7.248876610077559235e-09,1.022243052721023560e-01
7.298406958580017090e-02,7.231871038675308228e-02,8.526514605478041631e-09,5.409795418381690979e-02
6.443405896425247192e-02,7.208362966775894165e-02,3.906420964483459102e-09,3.722217306494712830e-02
6.308946758508682251e-02,6.703579425811767578e-02,5.428072213931045553e-09,1.683681085705757141e-02
6.428897380828857422e-02,6.758110225200653076e-02,2.231552054254848372e-09,5.011073779314756393e-03
6.822954118251800537e-02,6.773187220096588135e-02,9.060321382037272997e-09,3.587349876761436462e-02
6.604816764593124390e-02,6.858798861503601074e-02,1.165536467340189120e-08,1.889298856258392334e-02
6.417550146579742432e-02,7.070632278919219971e-02,4.045546564412916268e-09,2.287062816321849823e-02
5.970089882612228394e-02,7.615532726049423218e-02,3.180983254580382891e-09,3.592793131247162819e-03
5.630663782358169556e-02,6.672284007072448730e-02,1.797894455535242741e-08,6.569649558514356613e-04
5.126768723130226135e-02,7.017700374126434326e-02,6.781276651324219529e-10,3.522112965583801270e-03
4.796831682324409485e-02,7.017700374126434326e-02,3.012879945529789438e-10,4.870281554758548737e-03
4.698371887207031250e-02,6.832859665155410767e-02,5.718164830526006881e-10,1.149519346654415131e-03
4.171336069703102112e-02,6.520202010869979858e-02,1.823005357781681823e-10,5.885045975446701050e-04
4.347978904843330383e-02,6.520202010869979858e-02,6.099930005554199397e-10,1.378546585328876972e-03
4.498550295829772949e-02,7.576546818017959595e-02,4.930497676802758633e-10,1.338624744676053524e-03
4.566809535026550293e-02,6.978181004524230957e-02,1.540376604047821729e-09,2.803388051688671112e-04
4.733505472540855408e-02,6.751490384340286255e-02,2.254856718009179417e-10,3.624928940553218126e-04
4.520639777183532715e-02,7.637702673673629761e-02,1.494934509516099297e-09,2.389739500358700752e-03
4.848287254571914673e-02,6.902001798152923584e-02,2.493109052537079151e-09,2.355575561523437500e-03
4.770476371049880981e-02,6.393844634294509888e-02,4.343861714772856430e-09,1.760888029821217060e-03
4.530096054077148438e-02,8.234024047851562500e-02,3.249969182661516243e-08,7.078219787217676640e-04
4.724844545125961304e-02,7.638963311910629272e-02,3.888012756192438246e-08,2.279663458466529846e-04
4.624085500836372375e-02,7.532278448343276978e-02,2.608770977019503334e-09,1.018803101032972336e-02
4.624085500836372375e-02,7.741618156433105469e-02,1.944622951555174950e-08,7.690553320571780205e-04
4.926403611898422241e-02,7.626459747552871704e-02,8.561008790763935394e-09,1.617146539501845837e-03
5.801899731159210205e-02,6.838363409042358398e-02,7.182252126369803591e-09,5.448149750009179115e-04
6.597417593002319336e-02,7.270727306604385376e-02,1.032174310466871248e-07,1.017521973699331284e-02
6.576059013605117798e-02,8.216349780559539795e-02,1.817658024094725988e-09,1.273360336199402809e-03
5.434092134237289429e-02,7.656173408031463623e-02,2.431725487639369021e-09,1.321381889283657074e-03
5.247987806797027588e-02,8.309970051050186157e-02,1.849934605502312479e-08,4.356469959020614624e-03
4.734507948160171509e-02,7.595636695623397827e-02,4.342156501024874160e-08,6.902378052473068237e-03
4.589981585741043091e-02,8.312292397022247314e-02,4.934386197419371456e-06,6.739080697298049927e-02
4.249548912048339844e-02,7.763452827930450439e-02,6.187360668263863772e-07,4.923970252275466919e-02
4.624656587839126587e-02,7.502282410860061646e-02,1.275810404877120163e-06,4.359765350818634033e-02
4.929152876138687134e-02,6.823086738586425781e-02,6.341188054648227990e-06,6.133265793323516846e-02
4.905739426612854004e-02,6.262621283531188965e-02,1.724704634398221970e-05,1.135824024677276611e-01
4.866434633731842041e-02,5.607134476304054260e-02,6.152559071779251099e-04,1.414911001920700073e-01
5.069432035088539124e-02,5.712362378835678101e-02,1.903682823467534035e-05,2.871913835406303406e-02
4.961593449115753174e-02,5.458573997020721436e-02,1.484562744735740125e-06,2.798178791999816895e-02
5.458759516477584839e-02,4.857712611556053162e-02,3.820104211627040058e-06,2.202208712697029114e-02
5.035300552845001221e-02,4.930993169546127319e-02,4.837033316107408609e-07,5.728770047426223755e-03
4.838108271360397339e-02,5.108988285064697266e-02,1.110533276005298831e-06,1.568716168403625488e-01
4.838108271360397339e-02,5.758828669786453247e-02,8.788176586449480965e-08,9.491591155529022217e-02
5.024130269885063171e-02,7.150510698556900024e-02,9.692848124132069643e-08,6.143747642636299133e-02
4.445852339267730713e-02,7.005792111158370972e-02,1.017529172031572671e-07,1.867052018642425537e-01
4.130686074495315552e-02,7.531309127807617188e-02,3.055246224903385155e-06,2.753841504454612732e-02
3.694453462958335876e-02,7.798069715499877930e-02,2.503623363736551255e-06,1.277460996061563492e-02
3.703891485929489136e-02,7.267021387815475464e-02,5.699605480913305655e-06,1.556724011898040771e-01
4.129088297486305237e-02,6.680360436439514160e-02,1.332348006144457031e-06,6.406571250408887863e-03
4.504920542240142822e-02,6.752292066812515259e-02,1.766223704180447385e-06,6.814818480052053928e-04
4.564801976084709167e-02,7.193744182586669922e-02,8.983783459370897617e-07,4.659560509026050568e-03
4.718651995062828064e-02,6.952497363090515137e-02,4.659092383008101024e-07,2.632396062836050987e-03
4.167526960372924805e-02,7.141176611185073853e-02,5.978055924060754478e-06,3.902675816789269447e-04
5.278704315423965454e-02,7.575830817222595215e-02,3.856463081319816411e-06,2.186683268519118428e-04
5.562437325716018677e-02,6.581543385982513428e-02,8.513504326401744038e-06,1.555003400426357985e-04
6.486256420612335205e-02,6.948834657669067383e-02,7.989309835920721525e-08,3.300637239590287209e-03
5.822063237428665161e-02,7.467319071292877197e-02,3.116432253591483459e-06,7.484384113922715187e-04
5.693764984607696533e-02,7.628908753395080566e-02,5.196552374400198460e-04,9.042328456416726112e-04
6.257699429988861084e-02,7.502458989620208740e-02,2.078207035083323717e-05,1.278165960684418678e-03
6.023189797997474670e-02,6.803254783153533936e-02,4.472131331567652524e-05,3.588289488106966019e-03
6.105859577655792236e-02,5.734923481941223145e-02,2.798656851155101322e-06,2.216199599206447601e-02
5.910041183233261108e-02,5.850254371762275696e-02,1.498222263762727380e-04,4.065499827265739441e-02
5.910041183233261108e-02,5.772235617041587830e-02,3.588248800951987505e-04,2.270937561988830566e-01
4.980555176734924316e-02,4.938312619924545288e-02,3.108255987172015011e-05,6.041229888796806335e-02
4.819903895258903503e-02,4.938312619924545288e-02,1.475394014960329514e-06,2.196704968810081482e-02
5.177275091409683228e-02,5.068074166774749756e-02,1.656183712839265354e-06,8.950894698500633240e-03
5.177275091409683228e-02,4.589175432920455933e-02,1.695858031780517194e-06,3.639126941561698914e-02
5.643417686223983765e-02,3.400791436433792114e-02,2.657529307725781109e-07,6.360799819231033325e-02
5.862101912498474121e-02,3.109633922576904297e-02,1.114663859880238306e-06,1.179062295705080032e-02
5.788302421569824219e-02,2.937456592917442322e-02,4.242036055757125723e-09,9.481743723154067993e-02
5.582736432552337646e-02,2.997181564569473267e-02,2.140708277309499863e-09,1.095133572816848755e-01
5.766450986266136169e-02,3.416012600064277649e-02,8.295857334417178208e-09,9.754122793674468994e-02
